=== ALL-TIME RANKED TAGPRO TEAM RECORDS ===

## FULL GAME RECORDS (Including Overtime)

### HIGHS

#### Captures
  Match 3934742: KING KRULE, tryingthis, Quacky, Carrrrrl - 8 (Win)
  Match 3964559: Mystic, beef, havok, Goofy Goober - 8 (Win)
  Match 3984915: Batman., Curry, xcv, laserpig - 9 (Win)
  Match 3951899: Tyler Durden, spills, Howard, Korgmonkey - 9 (Win)
  Match 3938954: Witcher, waterlemon, Iodized Salt, Don Garyoni - 9 (Win)
  Match 4132316: fah q, Better Mamba, Xavi, Color Blind - 9 (Win)
  Match 3937537: jkxs, PBN, TheGovernor, FFFlier - 9 (Win)
  Match 4030781: tha king, aaron, Grommit, sun chips - 9 (Win)
  Match 3938830: white, Anti_Social, snaxolotl, bubblez - 9 (Win)

#### Hold (seconds)
  Match 3944556: knight_, lizzey, flopphone, Dayman - 27 (Loss)
  Match 4079688: StaIin, LogisticMap, Eat Tofu, BaII - 30 (Loss)
  Match 4092645: gspoon, HammerTime, oatz_mgoatz, Hockeypuck - 32 (Loss)
  Match 4139119: JKooter, Toidi, T.Bomballdil, Korgmonkey - 33 (Loss)
  Match 4099971: snackpack, MrDMoney, phreak, JARVISLANDRY - 34 (Loss)
  Match 3995714: phreak, Roxas, Sugar, oldAlt - 41 (Win)
  Match 4020047: Champagne, Glimmer, oldAlt, Ann with a E - 48 (Win)
  Match 3951198: Penis Wings, my fault, Pickle Ball, rai - 55 (Win)
  Match 3987778: meowza, eee, Button, Spheroid. - 56 (Win)
  Match 4033811: Taurus, xcv, LewBird, realtea - 57 (Win)

#### Prevent (seconds)
  Match 3985603: Irony, skibbity, CRYCHIC - 2 (Loss)
  Match 4113745: Shiyo, nlfn, UNlTY, om - 2 (Loss)
  Match 4139928: gspoon, Castrator, CoolHandJuke, Fatback slim - 2 (Loss)
  Match 3956289: EBITDA, rizzmaster, aeps002, ALCAEUS - 3 (Loss)
  Match 3953174: RobAU, Green, dabang khan, Phil Ballins - 3 (Loss)
  Match 4021392: TheWorst, tbiol, Israel Lives, EBITDA - 3 (Loss)
  Match 3934742: KING KRULE, tryingthis, Quacky, Carrrrrl - 12 (Win)
  Match 4092779: State Champ, JukeOfEarl, Barbara Bush, JukeBerallta - 14 (Win)
  Match 4065780: Hellball2079, BUTT, icancountto3, Homer Jay - 15 (Win)
  Match 4092886: snakes, TaylorWhiff, skibbity, Kep - 15 (Win)
  Match 4140771: Mos Def, waterlemon, danp, trippi - 16 (Win)

#### Powerups
  Match 3940654: /~, oh no snakes, JukeOfEarl, JSwan - 0 (Loss)
  Match 4143257: 11th Cmndmnt, Homer Jay, whatsupguys, sinagot - 0 (Loss)
  Match 3936101: 13 volcanos, bananahammoc, Toidi, tbiol - 0 (Loss)
  Match 4143930: ><><><><><><, DAD., Airmigo, sieh - 0 (Win)
  Match 4145074: ><><><><><><, Messy, Airmigo, rai - 0 (Loss)
  Match 4004254: ADVICE MAN, smoji_, umad, PBN - 0 (Loss)
  Match 4139643: AJ., NateH, Cheezedoodle, yep - 0 (Win)
  Match 4144816: AJ., Carrrrrl, FL, xcv - 0 (Loss)
  Match 4144838: AJ., Russ, jig, timeboy - 0 (Loss)
  Match 4142330: AdmaniaYT, Shrimpster, omni, name333 - 0 (Loss)
  Match 3941342: Alphachurro, tnevlos, Toidi, Iodized Salt - 0 (Loss)
  Match 4052862: BALLDON'TLIE, fl33t, karma, OuchMyBalls - 0 (Loss)
  Match 4084972: BALLDON'TLIE, EpicBlob, HELEN KELLER, zo2 - 0 (Loss)
  Match 4033469: BallSaget, Toidi, snaxolotl, DEAD NAN - 0 (Loss)
  Match 4064072: BallsToYou., aaron, StaIin, garet - 0 (Loss)
  Match 3994925: Bamboozler, laserpig, xcv, oldAlt - 0 (Loss)
  Match 3938830: BasedBall, CoffeeSnoot, Spiff, Helen Keller - 0 (Loss)
  Match 4138423: Big D, q42, AdmaniaYT, Snowball - 0 (Win)
  Match 4138471: Big D, BaII, Daniel, AJ. - 0 (Win)
  Match 4065879: Button, meowza, hihi!, SmallyBigs - 0 (Loss)
  Match 3938464: CRYCHIC, Enervate, Trip, `~` - 0 (Loss)
  Match 4044845: CRYCHIC, jkxs, Sadness, pontoon boat - 0 (Loss)
  Match 4065188: CRYCHIC, JukeOfEarl, bubblez, Spjork - 0 (Loss)
  Match 4142068: CRYCHIC, Snowball, PenFifteen, Suchit - 0 (Loss)
  Match 4144152: CRYCHIC, Messy, Airmigo, phreak - 0 (Loss)
  Match 4139335: CT Crunch, wonsu, Snowflaek, yep - 0 (Win)
  Match 4137608: Carrrrrl, q42, Goofy Goober, TOPPY - 0 (Win)
  Match 4143965: Carrrrrl, AdmaniaYT, sieh, timeboy - 0 (Win)
  Match 4144152: Carrrrrl, Ceremony, Sambal 1, xcv - 0 (Win)
  Match 4137001: Carrrrrl, mrme, q42, KALX - 0 (Loss)
  Match 4144991: Carrrrrl, Kep, xcv, name333 - 0 (Loss)
  Match 4145141: Cel, Russ, rolf, whiff - 0 (Win)
  Match 4142348: Ceremony, Light, omni, trippi - 0 (Win)
  Match 4075572: Champagne, Mos Def, 1 Pixel Juke, karma - 0 (Loss)
  Match 4140933: Cheezedoodle, TOPPY, 11th Cmndmnt, AJ. - 0 (Loss)
  Match 4142700: Chritt, let me cook, smoji_, danp - 0 (Win)
  Match 4018746: Chritt, eee, popsic, laserpig - 0 (Loss)
  Match 3992793: Chucho, om, JukeBerallta, LilB:BallGod - 0 (Loss)
  Match 4138174: CoolHandJuke, xcv, yep, Irony - 0 (Win)
  Match 4139184: CoolHandJuke, phlasid, Suchit, clamp - 0 (Win)
  Match 4137116: CoolHandJuke, waterlemon, TOPPY, Rabz - 0 (Loss)
  Match 4137984: CoolHandJuke, toogood, fl33t, Homer Jay - 0 (Loss)
  Match 4143930: CoolHandJuke, Dayman, g r e g, Carrrrrl - 0 (Loss)
  Match 3947879: CreedBratton, flopphone, Vader, jjpoole - 0 (Loss)
